run,candidate_idx,candidate_name,duration_ns,cpu_cycles,system
141,2,Will,2851000,28514,secure
141,3,George,3199200,31995,secure
141,4,Jess,3583700,35841,secure
142,0,Marcus,2804600,28050,secure
142,1,Trey,3235500,32358,secure
142,2,Will,3173700,31742,secure
142,3,George,2887600,28880,secure
142,4,Jess,2638400,26388,secure
143,0,Marcus,2643600,26440,secure
143,1,Trey,2776300,27768,secure
143,2,Will,2884200,28846,secure
143,3,George,2928800,29293,secure
143,4,Jess,3157200,31577,secure
144,0,Marcus,2561500,25618,secure
144,1,Trey,2431000,24315,secure
144,2,Will,2717900,27183,secure
144,3,George,2392100,23926,secure
144,4,Jess,2801800,28022,secure
145,0,Marcus,3397400,34696,secure
145,1,Trey,2656500,26570,secure
145,2,Will,2643600,26439,secure
145,3,George,3320500,33209,secure
145,4,Jess,2865600,28661,secure
146,0,Marcus,2440100,24404,secure
146,1,Trey,2602600,26030,secure
146,2,Will,2698900,26994,secure
146,3,George,3492900,34935,secure
146,4,Jess,3515100,35155,secure
147,0,Marcus,2818100,28186,secure
147,1,Trey,3159000,31595,secure
147,2,Will,2988600,29890,secure
147,3,George,3442600,34432,secure
147,4,Jess,2763000,27634,secure
148,0,Marcus,2605500,26060,secure
148,1,Trey,2756400,27568,secure
148,2,Will,2748500,27488,secure
148,3,George,3400400,34009,secure
148,4,Jess,3506200,35067,secure
149,0,Marcus,3867600,38718,secure
149,1,Trey,2493800,24943,secure
149,2,Will,3641500,36418,secure
149,3,George,2773400,27738,secure
149,4,Jess,2688600,26890,secure
150,0,Marcus,2948400,29488,secure
150,1,Trey,2972300,29727,secure
150,2,Will,2542500,25430,secure
150,3,George,2668600,26690,secure
150,4,Jess,2403000,24035,secure
151,0,Marcus,2539500,25400,secure
151,1,Trey,3492400,34929,secure
151,2,Will,2794400,27949,secure
151,3,George,3560100,35607,secure
151,4,Jess,2850700,28513,secure
152,0,Marcus,3714000,37143,secure
152,1,Trey,3204900,32053,secure
152,2,Will,2672100,26726,secure
152,3,George,3391000,33914,secure
152,4,Jess,3031200,30318,secure
153,0,Marcus,3155900,31563,secure
153,1,Trey,2748600,27491,secure
153,2,Will,2742900,27434,secure
153,3,George,3502600,35031,secure
153,4,Jess,3876200,38767,secure
154,0,Marcus,3302100,33026,secure
154,1,Trey,2618400,26189,secure
154,2,Will,2765800,27662,secure
154,3,George,2792800,27932,secure
154,4,Jess,2522400,25229,secure
155,0,Marcus,2715100,27156,secure
155,1,Trey,2610600,26110,secure
