run,candidate_idx,candidate_name,duration_ns,cpu_cycles,heap_allocs,heap_bytes,system
82,0,Marcus,2269500,22699,77,29824,sequential
82,1,Trey,2312700,23131,77,29824,sequential
82,2,Will,2287100,22874,77,29824,sequential
82,3,George,2322300,23226,77,29824,sequential
82,4,Jess,2305000,23053,77,29824,sequential
83,0,Marcus,2292600,22930,77,29824,sequential
83,1,Trey,2295100,22956,77,29824,sequential
83,2,Will,2317800,23182,77,29824,sequential
83,3,George,2577500,25780,77,29824,sequential
83,4,Jess,2279900,22802,77,29824,sequential
84,0,Marcus,2580400,25808,77,29824,sequential
84,1,Trey,2671600,26719,77,29824,sequential
84,2,Will,2397100,23976,77,29824,sequential
84,3,George,2512600,25131,77,29824,sequential
84,4,Jess,2341100,23415,77,29824,sequential
85,0,Marcus,2312400,23128,77,29824,sequential
85,1,Trey,2654000,26544,79,32136,sequential
85,2,Will,2340100,23405,77,29824,sequential
85,3,George,2752300,27525,77,29824,sequential
85,4,Jess,2297800,22981,77,29824,sequential
86,0,Marcus,2347600,23481,77,29824,sequential
86,1,Trey,2245600,22459,77,29824,sequential
86,2,Will,2303500,23040,77,29824,sequential
86,3,George,2460900,24612,77,29824,sequential
86,4,Jess,2301000,23014,77,29824,sequential
87,0,Marcus,2352300,23527,77,29824,sequential
87,1,Trey,2335300,23356,77,29824,sequential
87,2,Will,2642200,26426,77,29824,sequential
87,3,George,2402800,24032,77,29824,sequential
87,4,Jess,2385800,23861,77,29824,sequential
88,0,Marcus,2294200,22947,77,29824,sequential
88,1,Trey,2331000,23314,77,29824,sequential
88,2,Will,2490800,24911,77,29824,sequential
88,3,George,2287200,22876,77,29824,sequential
88,4,Jess,2300100,23005,77,29824,sequential
89,0,Marcus,2459900,24603,77,29824,sequential
89,1,Trey,2261900,22623,77,29824,sequential
89,2,Will,2666000,26663,77,29824,sequential
89,3,George,2307200,23076,77,29824,sequential
89,4,Jess,2793700,27940,77,29824,sequential
90,0,Marcus,2449200,24495,77,29824,sequential
90,1,Trey,2255600,22561,77,29824,sequential
90,2,Will,2301400,23017,77,29824,sequential
90,3,George,2362700,23631,77,29824,sequential
90,4,Jess,2336400,23369,77,29824,sequential
91,0,Marcus,2324800,23253,77,29824,sequential
91,1,Trey,2260700,22611,77,29824,sequential
91,2,Will,2302100,23025,77,29824,sequential
91,3,George,2508800,25092,77,29824,sequential
91,4,Jess,2299300,22996,77,29824,sequential
92,0,Marcus,2282300,22827,77,29824,sequential
92,1,Trey,2327800,23282,77,29824,sequential
92,2,Will,2268300,22688,77,29824,sequential
92,3,George,2369700,23701,77,29824,sequential
92,4,Jess,2341500,23419,77,29824,sequential
93,0,Marcus,2253800,22542,77,29824,sequential
93,1,Trey,2338500,23391,77,29824,sequential
93,2,Will,2265300,22657,77,29824,sequential
93,3,George,2312400,23129,77,29824,sequential
93,4,Jess,2282800,22831,77,29824,sequential
94,0,Marcus,2324500,23249,77,29824,sequential
94,1,Trey,2317400,23178,77,29824,sequential
94,2,Will,2362600,23630,77,29824,sequential
94,3,George,2281900,22823,77,29824,sequential
94,4,Jess,2313300,23138,77,29824,sequential
95,0,Marcus,2442600,24431,77,29824,sequential
95,1,Trey,2246600,22470,77,29824,sequential
95,2,Will,2432400,24327,77,29824,sequential
95,3,George,2710800,27112,77,29824,sequential
95,4,Jess,2435400,24358,77,29824,sequential
96,0,Marcus,2619500,26198,77,29824,sequential
96,1,Trey,2566200,25665,77,29824,sequential
96,2,Will,2650000,26504,77,29824,sequential
96,3,George,2470300,24706,77,29824,sequential
96,4,Jess,2568800,25694,77,29824,sequential
97,0,Marcus,2467600,24680,77,29824,sequential
97,1,Trey,2414900,24152,77,29824,sequential
97,2,Will,2692400,26929,77,29824,sequential
97,3,George,2503400,25039,77,29824,sequential
97,4,Jess,2396700,23970,77,29824,sequential
98,0,Marcus,2700500,27008,77,29824,sequential
98,1,Trey,2553200,25536,77,29824,sequential
98,2,Will,2300900,23014,77,29824,sequential
98,3,George,2613400,26138,77,29824,sequential
98,4,Jess,2317900,23183,77,29824,sequential
99,0,Marcus,2417200,24175,77,29824,sequential
99,1,Trey,2372500,23728,77,29824,sequential
99,2,Will,2350600,23510,77,29824,sequential
99,3,George,2317300,23177,77,29824,sequential
99,4,Jess,2360400,23607,77,29824,sequential
100,0,Marcus,2402800,24031,77,29824,sequential
100,1,Trey,2240100,22405,77,29824,sequential
100,2,Will,2729100,27294,77,29824,sequential
100,3,George,2580900,25812,77,29824,sequential
100,4,Jess,2454000,24545,77,29824,sequential
101,0,Marcus,2366900,23674,77,29824,sequential
101,1,Trey,2260200,22606,77,29824,sequential
101,2,Will,2424500,24248,77,29824,sequential
101,3,George,2295900,22963,77,29824,sequential
101,4,Jess,2524200,25247,77,29824,sequential
